Weight (kg),Activity Level (steps),Heart Rate (bpm),Calorie Burn,Temperature (C),Food Intake (calories),Water Intake (ml),Breathing Rate (breaths/min),Barking Frequency,Behaviour Pattern
7.3908,395,111,13.7,28.7,0,35.9,20,None,Normal
7.3908,0,111,2,26.6,0,0,16,None,Sleeping
7.3908,0,103,3,24.8,0,0,15,None,Sleeping
7.3908,159,106,7.7,26.3,183.4,148.1,17,None,Eating
7.3908,0,106,1,27.5,0,0,19,None,Sleeping
7.3908,353,111,11.4,28.4,0,44.6,27,None,Normal
7.3908,2180,126,65.4,29.9,0,0,27,None,Walking
7.3908,0,103,1,27.2,0,0,15,None,Sleeping
7.3908,0,104,2,25.4,0,0,15,None,Sleeping
7.3908,0,111,3,26.2,0,0,18,None,Sleeping
7.3967,0,109,1,24.7,0,0,18,None,Sleeping
7.3967,0,108,2,26.6,0,0,20,None,Sleeping
7.3967,0,109,2,25.7,0,0,19,None,Sleeping
7.3967,0,111,1,27.5,0,0,17,None,Sleeping
7.3967,0,112,1,25.2,0,0,19,None,Sleeping
7.3967,0,111,3,25.6,0,0,20,None,Sleeping
7.3967,0,106,1,25.7,0,0,19,None,Sleeping
7.3967,0,103,1,27.2,0,0,19,None,Sleeping
7.3967,167,107,7.9,29.3,149.8,99.9,18,None,Eating
7.3967,1266,132,38.5,33.8,0,0,24,Low,Walking
7.3967,480,111,17.2,25,0,26,23,Low,Normal
7.3967,756,122,24.4,31,0,0,24,High,Playing
7.3967,464,116,16.7,26.8,0,30.4,18,None,Normal
7.3967,485,107,16.3,26.5,0,1.2,23,Low,Normal
7.3967,974,137,30.8,29.8,0,0,31,Low,Playing
7.3967,506,113,17,27.7,0,7.1,22,Low,Normal
7.3967,262,102,10.8,26.3,116.2,74.6,26,None,Eating
7.3967,812,120,25,31.8,0,0,26,Medium,Playing
7.3967,0,104,1,25.2,0,0,18,None,Sleeping
7.3967,2203,125,66.2,28.6,0,0,34,High,Walking
7.3967,412,113,15.2,28,0,25.8,22,None,Normal
7.3967,0,106,2,27.2,0,0,20,None,Sleeping
7.3967,0,112,2,25.7,0,0,18,None,Sleeping
7.3967,0,107,3,26.8,0,0,20,None,Sleeping
7.3915,0,107,2,25.9,0,0,15,None,Sleeping
7.3915,0,105,3,27.5,0,0,16,None,Sleeping
7.3915,0,101,2,27.3,0,0,20,None,Sleeping
7.3915,0,102,3,25.8,0,0,18,None,Sleeping
7.3915,0,113,3,24.9,0,0,17,None,Sleeping
7.3915,0,111,1,26.6,0,0,16,None,Sleeping
7.3915,0,105,3,25.9,0,0,17,None,Sleeping
7.3915,306,104,10,24.8,191.1,38.2,21,None,Eating
7.3915,2709,131,81.1,30.7,0,0,27,Medium,Walking
7.3915,434,111,13.8,27.8,0,6.4,20,None,Normal
7.3915,335,112,10.9,27,0,57.7,22,Low,Normal
7.3915,352,105,11.4,27,0,49.1,23,Low,Normal
7.3915,260,105,10.7,26.7,0,40.4,25,None,Normal
7.3915,0,103,3,27.1,0,0,17,None,Sleeping
7.3915,0,105,1,25.4,0,0,17,None,Sleeping
7.3915,325,112,12.6,28.6,0,6.8,18,None,Normal
7.3915,326,106,10.6,24.6,157,101.3,22,None,Eating
7.3915,0,103,3,25.7,0,0,18,None,Sleeping
7.3915,447,125,14.2,29.8,0,0,28,Medium,Playing
7.3915,1373,129,43.6,32,0,0,30,None,Walking
7.3915,435,108,14.9,28.4,0,7.6,25,None,Normal
7.3915,477,114,16.1,26.3,0,47.8,20,Low,Normal
7.3915,0,110,2,26.7,0,0,19,None,Sleeping
7.3915,0,109,2,27.3,0,0,18,None,Sleeping
7.4006,0,108,2,26.2,0,0,17,None,Sleeping
7.4006,0,107,1,25.6,0,0,20,None,Sleeping
7.4006,0,101,2,27.3,0,0,20,None,Sleeping
7.4006,0,108,3,25.8,0,0,19,None,Sleeping
7.4006,0,101,3,26.8,0,0,17,None,Sleeping
7.4006,0,102,3,25.6,0,0,15,None,Sleeping
7.4006,0,101,2,24.5,0,0,20,None,Sleeping
7.4006,0,101,3,25.4,0,0,18,None,Sleeping
7.4006,137,105,6.1,25.1,119.2,150.7,17,None,Eating
7.4006,1546,132,48.8,31,0,0,35,Low,Walking
7.4006,178,106,8.3,28.9,0,52.3,24,Low,Normal
7.4006,335,113,12.9,26.3,0,13,25,Low,Normal
7.4006,806,122,26.9,28.8,0,0,26,Medium,Playing
7.4006,435,107,13.9,28,0,63.6,19,None,Normal
7.4006,326,109,10.7,28.6,0,41.1,19,Low,Normal
7.4006,1111,132,35.9,27.8,0,0,31,Medium,Playing
7.4006,370,111,13,27.1,0,8.6,23,Low,Normal
7.4006,160,112,5.7,27,199,162.4,24,None,Eating
7.4006,310,114,12.2,25.8,0,52.8,20,None,Normal
7.4006,2532,128,77,34.3,0,0,32,None,Walking
7.4006,452,108,16.4,26.6,0,24.6,26,None,Normal
7.4006,0,110,1,26.3,0,0,17,None,Sleeping
7.4006,0,109,1,26.9,0,0,16,None,Sleeping
7.4006,0,110,1,26.5,0,0,15,None,Sleeping
7.4017,0,104,1,25.6,0,0,17,None,Sleeping
7.4017,0,108,2,25.6,0,0,19,None,Sleeping
7.4017,0,110,3,26.1,0,0,15,None,Sleeping
7.4017,0,104,3,26.6,0,0,17,None,Sleeping
7.4017,0,102,1,25.4,0,0,18,None,Sleeping
7.4017,0,108,2,25.8,0,0,15,None,Sleeping
7.4017,0,103,2,26.5,0,0,18,None,Sleeping
7.4017,0,104,2,27.2,0,0,18,None,Sleeping
7.4017,0,111,2,27.2,0,0,15,None,Sleeping
7.4017,0,112,2,26.2,0,0,18,None,Sleeping
7.4017,1150,131,37,30.3,0,0,26,Low,Walking
7.4017,177,106,7.2,27.9,0,41.3,17,None,Normal
7.4017,283,106,10.4,28.7,105.9,147.2,22,None,Eating
7.4017,525,110,17.5,27.2,0,60.5,25,None,Normal
7.4017,1595,130,50.2,30.8,0,0,37,High,Playing
7.4017,2937,123,88,34.4,0,0,30,Low,Walking
7.4017,1602,128,50.4,31.7,0,0,29,None,Walking
7.4017,2707,115,81.1,34,0,0,31,Low,Walking
7.4017,0,101,3,26.1,0,0,20,None,Sleeping
7.4017,242,111,10.2,28.2,162.4,164.5,22,None,Eating
7.4017,0,110,2,24.8,0,0,17,None,Sleeping
7.4017,0,103,1,26.9,0,0,15,None,Sleeping
7.4017,468,116,15.9,26.5,0,54.7,21,Low,Normal
7.4017,0,105,1,27.5,0,0,18,None,Sleeping
7.3852,0,103,2,25.6,0,0,18,None,Sleeping
7.3852,0,103,1,25.1,0,0,16,None,Sleeping
7.3852,0,108,1,25.6,0,0,16,None,Sleeping
7.3852,0,106,2,25.4,0,0,15,None,Sleeping
7.3852,0,103,2,26.2,0,0,20,None,Sleeping
7.3852,0,110,1,25.8,0,0,18,None,Sleeping
7.3852,0,108,2,26.1,0,0,17,None,Sleeping
7.3852,0,106,2,25.2,0,0,16,None,Sleeping
7.3852,0,109,1,24.9,0,0,15,None,Sleeping
7.3852,0,104,1,25.7,0,0,15,None,Sleeping
7.3852,1710,131,53.5,33.2,0,0,32,High,Walking
7.3852,386,106,12.4,25.6,0,28.4,22,None,Normal
7.3852,249,107,10.4,26.3,166.4,99.9,21,None,Eating
7.3852,366,111,12.8,26.1,0,14.2,22,None,Normal
7.3852,2715,121,82.2,30.1,0,0,34,Low,Walking
7.3852,1304,117,39.5,32.5,0,0,32,Medium,Walking
7.3852,2389,113,73.6,29.5,0,0,33,Medium,Walking
7.3852,0,111,2,25.9,0,0,17,None,Sleeping
7.3852,306,113,11,27.3,112.2,164.8,26,None,Eating
7.3852,267,113,8.9,28.8,0,36.4,26,None,Normal
7.3852,220,116,9.5,28,0,53.1,21,None,Normal
7.3852,219,108,9.5,27.4,185,134.1,22,None,Eating
7.3852,0,113,3,25.2,0,0,17,None,Sleeping
7.3852,478,106,15.1,28.3,0,61.1,21,None,Normal
7.3989,0,104,1,24.7,0,0,19,None,Sleeping
7.3989,0,105,3,26.8,0,0,20,None,Sleeping
7.3989,0,109,3,27.3,0,0,19,None,Sleeping
7.3989,0,113,2,26.5,0,0,20,None,Sleeping
7.3989,0,107,2,24.8,0,0,20,None,Sleeping
7.3989,0,110,3,27.1,0,0,15,None,Sleeping
7.3989,0,107,2,25.9,0,0,16,None,Sleeping
7.3989,0,104,2,27.4,0,0,17,None,Sleeping
7.3989,118,112,5.5,25.4,192.4,164.3,24,None,Eating
7.3989,837,113,27.8,29.4,0,0,34,High,Walking
7.3989,429,109,14.7,27.5,0,22,20,None,Normal
7.3989,323,112,10.6,29.3,0,13.5,18,None,Normal
7.3989,0,110,2,25.3,0,0,20,None,Sleeping
7.3989,314,107,11.3,26.8,0,38.1,17,Low,Normal
7.3989,1604,128,50.5,31.4,0,0,25,Low,Playing
7.3989,0,103,2,24.5,0,0,18,None,Sleeping
7.3989,157,113,6.6,27.5,115.2,124.1,19,None,Eating
7.3989,391,110,12.6,26.1,0,0.7,26,Low,Normal
7.3989,383,108,14.3,25.3,0,31.4,20,Low,Normal
7.3989,2938,116,88,33.3,0,0,24,Low,Walking
7.3989,0,108,3,26.7,0,0,18,None,Sleeping
7.3989,425,104,13.6,26.3,0,21.5,23,None,Normal
7.3989,416,109,14.3,27.1,0,28.9,26,Low,Normal
7.3989,0,104,3,27.4,0,0,19,None,Sleeping
7.4002,0,104,1,26.2,0,0,20,None,Sleeping
7.4002,0,104,3,27.4,0,0,18,None,Sleeping
7.4002,0,108,3,25.5,0,0,18,None,Sleeping
7.4002,0,112,2,27.2,0,0,17,None,Sleeping
7.4002,0,107,1,26.1,0,0,18,None,Sleeping
7.4002,0,105,1,25.7,0,0,20,None,Sleeping
7.4002,0,104,1,25.9,0,0,19,None,Sleeping
7.4002,330,116,12.8,28.3,132.1,62.5,18,None,Eating
7.4002,2906,126,88,34,0,0,33,Medium,Walking
7.4002,279,105,11.3,26.2,0,63.1,20,Low,Normal
7.4002,169,107,6,28.1,0,40.9,16,Low,Normal
7.4002,305,113,10,26.3,0,43.1,20,None,Normal
7.4002,0,111,3,24.6,0,0,15,None,Sleeping
7.4002,354,113,11.5,28.4,0,10.8,21,Low,Normal
7.4002,0,109,1,26.1,0,0,15,None,Sleeping
7.4002,0,109,1,25.1,0,0,17,None,Sleeping
7.4002,0,103,2,25.8,0,0,18,None,Sleeping
7.4002,314,114,12.3,26.2,107.7,76.6,21,None,Eating
7.4002,516,107,18.3,28.1,0,46.8,26,Low,Normal
7.4002,1659,119,51.1,31.1,0,0,27,High,Walking
7.4002,0,105,2,27.3,0,0,20,None,Sleeping
7.4002,0,112,1,26.2,0,0,17,None,Sleeping
7.4002,0,112,2,27.5,0,0,18,None,Sleeping
7.4002,0,104,2,25.7,0,0,19,None,Sleeping
7.3992,0,110,1,27.2,0,0,19,None,Sleeping
7.3992,0,110,2,26.8,0,0,18,None,Sleeping
7.3992,0,112,1,24.5,0,0,19,None,Sleeping
7.3992,0,109,3,26.3,0,0,18,None,Sleeping
7.3992,0,106,3,25.7,0,0,17,None,Sleeping
7.3992,0,101,2,26,0,0,18,None,Sleeping
7.3992,0,109,2,26.4,0,0,17,None,Sleeping
7.3992,364,110,12.8,27.1,122.2,40.5,23,None,Eating
7.3992,2843,129,87.1,32.4,0,0,29,Medium,Walking
7.3992,729,134,24.6,28.3,0,0,27,High,Playing
7.3992,366,111,12.8,27.7,0,4.7,20,Low,Normal
7.3992,0,105,2,25.5,0,0,18,None,Sleeping
7.3992,1535,130,48.4,30.2,0,0,30,Low,Playing
7.3992,0,102,1,27.1,0,0,19,None,Sleeping
7.3992,283,116,10.4,27.1,0,58.1,28,Low,Normal
7.3992,191,107,6.7,26,0,59.5,21,None,Normal
7.3992,130,112,6.8,25.8,0,9.4,24,None,Normal
7.3992,218,113,8.5,26.7,159.2,54.6,24,None,Eating
7.3992,150,110,7.4,29,0,10.9,26,None,Normal
7.3992,2709,113,81.2,34.2,0,0,36,High,Walking
7.3992,384,109,14.4,29.1,0,4.7,25,None,Normal
7.3992,0,106,3,26.4,0,0,16,None,Sleeping
7.3992,321,105,10.5,27,0,39.5,22,None,Normal
7.3992,0,105,3,27.2,0,0,19,None,Sleeping
7.3897,0,105,1,24.7,0,0,20,None,Sleeping
7.3897,0,104,3,27.3,0,0,15,None,Sleeping
7.3897,0,108,3,25.6,0,0,16,None,Sleeping
7.3897,0,103,1,25,0,0,15,None,Sleeping
7.3897,0,109,3,26.4,0,0,20,None,Sleeping
7.3897,0,113,2,25,0,0,19,None,Sleeping
7.3897,0,106,1,27,0,0,15,None,Sleeping
7.3897,0,110,2,26.7,0,0,17,None,Sleeping
7.3897,0,109,1,26.4,0,0,20,None,Sleeping
7.3897,310,105,10.2,25.8,203.5,92.3,18,None,Eating
7.3897,2758,128,83.5,34.3,0,0,30,High,Walking
7.3897,364,107,11.8,26.9,0,43.5,21,None,Normal
7.3897,0,105,1,24.9,0,0,19,None,Sleeping
7.3897,229,110,7.8,26.7,0,7.3,24,None,Normal
7.3897,329,111,11.7,26.4,0,33.9,20,Low,Normal
7.3897,828,128,26.5,31.6,0,0,26,High,Playing
7.3897,106,109,5.1,27.8,205.3,165.1,16,None,Eating
7.3897,315,111,11.3,27.5,0,25,18,Low,Normal
7.3897,396,105,12.7,24.9,0,65.4,21,None,Normal
7.3897,218,106,7.4,27,0,13,19,None,Normal
7.3897,971,131,31.7,28.8,0,0,40,Medium,Walking
7.3897,1481,127,44.8,30.7,0,0,32,Low,Playing
7.3897,0,107,2,24.6,0,0,19,None,Sleeping
7.3897,0,107,2,27.4,0,0,19,None,Sleeping
7.4056,0,110,2,26.4,0,0,16,None,Sleeping
7.4056,0,105,1,26.4,0,0,16,None,Sleeping
7.4056,0,104,2,25,0,0,18,None,Sleeping
7.4056,0,111,1,25.7,0,0,16,None,Sleeping
7.4056,0,111,3,25.8,0,0,17,None,Sleeping
7.4056,0,103,1,24.9,0,0,16,None,Sleeping
7.4056,0,103,1,25.4,0,0,19,None,Sleeping
7.4056,0,107,2,26.7,0,0,16,None,Sleeping
7.4056,0,103,1,27.1,0,0,17,None,Sleeping
7.4056,344,105,13.2,26.6,135.7,126.1,22,None,Eating
7.4056,1806,137,55.5,35.4,0,0,30,None,Walking
7.4056,0,107,2,25.4,0,0,16,None,Sleeping
7.4056,311,107,10.2,28.4,0,31.1,26,None,Normal
7.4056,223,114,8.6,27.2,0,60,18,Low,Normal
7.4056,0,104,3,26.3,0,0,16,None,Sleeping
7.4056,0,103,3,25.8,0,0,15,None,Sleeping
7.4056,310,106,11.2,28.2,0,25.2,23,Low,Normal
7.4056,92,107,5.7,26.8,130.3,114.7,21,None,Eating
7.4056,506,116,18,27,0,53.7,27,Low,Normal
7.4056,509,107,16.1,28.3,0,17.8,24,Low,Normal
7.4056,2031,127,62.2,30.9,0,0,31,Medium,Walking
7.4056,0,104,3,27.4,0,0,18,None,Sleeping
7.4056,0,106,2,27,0,0,15,None,Sleeping
7.4056,0,102,2,26.6,0,0,17,None,Sleeping
7.4103,0,105,2,25.8,0,0,20,None,Sleeping
7.4103,0,109,1,24.8,0,0,19,None,Sleeping
7.4103,0,110,2,25.5,0,0,20,None,Sleeping
7.4103,0,101,3,26.4,0,0,18,None,Sleeping
7.4103,0,106,3,25.8,0,0,17,None,Sleeping
7.4103,0,111,3,27.1,0,0,15,None,Sleeping
7.4103,0,102,3,26.5,0,0,20,None,Sleeping
7.4103,0,107,3,24.6,0,0,19,None,Sleeping
7.4103,0,107,1,25.9,0,0,19,None,Sleeping
7.4103,0,107,3,26.3,0,0,20,None,Sleeping
7.4103,2087,131,62.9,33.4,0,0,36,None,Walking
7.4103,0,106,2,26,0,0,19,None,Sleeping
7.4103,309,107,10.2,26.1,161.8,50.4,19,None,Eating
7.4103,0,106,3,26.9,0,0,18,None,Sleeping
7.4103,840,119,25.9,27.5,0,0,33,Medium,Playing
7.4103,1872,136,56.5,29.8,0,0,27,High,Walking
7.4103,2733,128,83,32,0,0,36,High,Walking
7.4103,2741,131,82.2,34.4,0,0,31,Low,Walking
7.4103,293,108,11.7,28.2,0,55.5,21,Low,Normal
7.4103,346,113,12.3,29.4,187.7,142.4,18,None,Eating
7.4103,371,107,14,27,0,17.7,24,None,Normal
7.4103,75,106,4.2,26.9,119,36.5,20,None,Eating
7.4103,414,108,13.3,26.7,0,10.6,21,None,Normal
7.4103,0,103,1,24.9,0,0,18,None,Sleeping
7.4184,0,112,1,25.9,0,0,19,None,Sleeping
7.4184,0,113,2,27.1,0,0,15,None,Sleeping
7.4184,0,104,2,26.2,0,0,16,None,Sleeping
7.4184,0,106,3,27,0,0,19,None,Sleeping
7.4184,0,106,1,25,0,0,19,None,Sleeping
7.4184,0,108,2,25.3,0,0,17,None,Sleeping
7.4184,0,110,1,24.6,0,0,20,None,Sleeping
7.4184,0,111,2,25.8,0,0,16,None,Sleeping
7.4184,0,108,2,25.4,0,0,15,None,Sleeping
7.4184,1612,132,49.8,33,0,0,29,High,Walking
7.4184,420,112,14.5,28.1,0,47.1,25,Low,Normal
7.4184,271,114,10,24.8,132.7,51.1,21,None,Eating
7.4184,512,110,18.2,27.3,0,57.8,22,None,Normal
7.4184,223,114,7.6,25.8,0,5.8,23,None,Normal
7.4184,0,102,3,25,0,0,19,None,Sleeping
7.4184,2327,110,70.1,31.5,0,0,24,Medium,Walking
7.4184,887,120,29.3,30.2,0,0,31,Low,Walking
7.4184,1599,132,49.4,31.6,0,0,34,High,Walking
7.4184,458,112,15.6,26.3,0,18.5,20,Low,Normal
7.4184,382,116,14.3,25.1,164.5,38.6,27,None,Eating
7.4184,295,109,9.8,26.1,0,42.4,19,Low,Normal
7.4184,360,109,12.7,25,150.2,110.8,19,None,Eating
7.4184,278,105,11.2,28.7,0,11.8,18,None,Normal
7.4184,0,103,3,26.3,0,0,20,None,Sleeping
7.4331,0,104,1,24.6,0,0,20,None,Sleeping
7.4331,0,108,1,25.5,0,0,16,None,Sleeping
7.4331,0,109,2,27.5,0,0,20,None,Sleeping
7.4331,0,105,3,26.9,0,0,18,None,Sleeping
7.4331,0,103,1,24.6,0,0,19,None,Sleeping
7.4331,0,113,3,26.7,0,0,20,None,Sleeping
7.4331,0,105,2,24.5,0,0,16,None,Sleeping
7.4331,0,112,2,25.7,0,0,19,None,Sleeping
7.4331,369,113,12,25.6,127.6,157.9,24,None,Eating
7.4331,2099,122,65.4,32.1,0,0,28,None,Walking
7.4331,1410,119,42.9,29.6,0,0,26,Low,Playing
7.4331,1121,125,35.3,30.9,0,0,23,Medium,Playing
7.4331,523,115,17.6,26.9,0,46.3,23,None,Normal
7.4331,327,110,12.7,27,0,61,16,None,Normal
7.4331,0,103,3,26.9,0,0,17,None,Sleeping
7.4331,517,113,17.4,26.7,0,62.9,19,None,Normal
7.4331,187,104,6.6,27.3,0,8.9,17,None,Normal
7.4331,330,105,10.8,25.8,149.4,113.2,25,None,Eating
7.4331,1432,122,44.6,30.6,0,0,35,High,Playing
7.4331,1979,133,60.8,32.6,0,0,29,High,Walking
7.4331,0,109,1,24.8,0,0,20,None,Sleeping
7.4331,0,102,1,24.6,0,0,17,None,Sleeping
7.4331,0,104,3,27,0,0,16,None,Sleeping
7.4331,0,109,3,26.2,0,0,20,None,Sleeping
7.4233,0,103,3,27.3,0,0,18,None,Sleeping
7.4233,0,110,2,26.3,0,0,17,None,Sleeping
7.4233,0,113,1,24.8,0,0,19,None,Sleeping
7.4233,0,109,3,27.3,0,0,20,None,Sleeping
7.4233,0,109,3,25.6,0,0,18,None,Sleeping
7.4233,0,107,3,27.3,0,0,19,None,Sleeping
7.4233,0,108,2,24.7,0,0,16,None,Sleeping
7.4233,0,104,2,26.9,0,0,19,None,Sleeping
7.4233,0,110,3,26.3,0,0,15,None,Sleeping
7.4233,231,102,8.9,26.9,167,65.7,21,None,Eating
7.4233,2285,118,68.8,29.7,0,0,28,High,Walking
7.4233,548,107,17.3,26.9,0,5.8,22,Low,Normal
7.4233,219,106,9.5,25.3,0,13,25,Low,Normal
7.4233,1683,127,51,28.6,0,0,33,Medium,Playing
7.4233,0,110,2,24.9,0,0,20,None,Sleeping
7.4233,259,105,9.7,29.4,0,64.3,24,Low,Normal
7.4233,349,111,11.4,24.5,0,36.7,23,None,Normal
7.4233,198,106,8.9,27.5,121.6,128.9,16,None,Eating
7.4233,0,103,3,26,0,0,17,None,Sleeping
7.4233,365,114,13.8,28,0,44.7,18,Low,Normal
7.4233,2615,121,79.6,31.6,0,0,29,None,Walking
7.4233,220,107,7.5,26.3,0,32.7,21,None,Normal
7.4233,1083,121,33.2,29.6,0,0,30,Low,Playing
7.4233,0,109,2,25.8,0,0,18,None,Sleeping
7.4155,0,112,3,25.4,0,0,19,None,Sleeping
7.4155,0,106,2,26.5,0,0,18,None,Sleeping
7.4155,0,108,2,27.3,0,0,20,None,Sleeping
7.4155,0,109,3,27.3,0,0,15,None,Sleeping
7.4155,0,103,2,24.7,0,0,20,None,Sleeping
7.4155,0,105,1,25.9,0,0,20,None,Sleeping
7.4155,0,106,3,24.7,0,0,15,None,Sleeping
7.4155,0,111,3,26.8,0,0,17,None,Sleeping
7.4155,186,107,7.5,26,154.7,71.9,20,None,Eating
7.4155,2451,124,75.7,32.3,0,0,29,Low,Walking
7.4155,276,114,11.2,28.2,0,32.4,20,None,Normal
7.4155,417,106,15.4,25.5,0,64.5,18,Low,Normal
7.4155,366,105,13.9,27.6,0,8.2,24,None,Normal
7.4155,616,125,20.3,32.4,0,0,34,High,Playing
7.4155,178,114,8.3,28.4,0,8.4,21,Low,Normal
7.4155,1675,111,52.7,28.9,0,0,32,Medium,Playing
7.4155,168,113,8,27.1,173.9,85.1,21,None,Eating
7.4155,424,107,13.6,25.6,0,32.6,19,None,Normal
7.4155,648,128,20.2,29.4,0,0,26,Low,Playing
7.4155,1378,133,43.9,34.4,0,0,29,High,Walking
7.4155,0,112,2,24.9,0,0,17,None,Sleeping
7.4155,323,107,10.6,25,0,47.7,20,None,Normal
7.4155,0,105,1,25.4,0,0,17,None,Sleeping
7.4155,0,105,1,26,0,0,17,None,Sleeping
7.4161,0,105,2,26.1,0,0,18,None,Sleeping
7.4161,0,110,2,26.9,0,0,20,None,Sleeping
7.4161,0,112,3,26.3,0,0,15,None,Sleeping
7.4161,0,112,2,25.8,0,0,15,None,Sleeping
7.4161,0,108,3,25.8,0,0,19,None,Sleeping
7.4161,0,103,3,25.2,0,0,20,None,Sleeping
7.4161,0,111,3,26.7,0,0,18,None,Sleeping
7.4161,198,103,8.9,27,143.4,97.2,24,None,Eating
7.4161,2786,122,83.6,32.4,0,0,27,Low,Walking
7.4161,370,113,14,27.5,0,8.3,21,None,Normal
7.4161,569,112,18.9,26.8,0,10.4,24,Low,Normal
7.4161,450,109,16.3,26.5,0,35.9,27,None,Normal
7.4161,307,110,10.1,28.8,0,38.6,24,None,Normal
7.4161,0,103,3,24.9,0,0,15,None,Sleeping
7.4161,340,113,12.1,25.3,0,55.6,22,Low,Normal
7.4161,443,117,14.1,26.1,0,55,22,Low,Normal
7.4161,773,111,25.9,29,0,0,29,High,Playing
7.4161,175,112,8.2,26.1,202.3,63.1,24,None,Eating
7.4161,0,103,3,26.8,0,0,15,None,Sleeping
7.4161,442,113,14.1,25.5,0,35.2,17,None,Normal
7.4161,2769,135,84.1,30,0,0,27,High,Walking
7.4161,378,113,12.2,27.2,0,14.4,21,Low,Normal
7.4161,0,111,3,24.6,0,0,16,None,Sleeping
7.4161,0,105,2,26.2,0,0,15,None,Sleeping
7.4153,0,103,3,26.3,0,0,19,None,Sleeping
7.4153,0,103,2,24.7,0,0,19,None,Sleeping
7.4153,0,113,1,26.4,0,0,15,None,Sleeping
7.4153,0,108,2,26.8,0,0,19,None,Sleeping
7.4153,0,103,2,27.5,0,0,16,None,Sleeping
7.4153,0,111,2,25.3,0,0,18,None,Sleeping
7.4153,0,106,1,25.3,0,0,18,None,Sleeping
7.4153,185,107,8.5,25.9,118.7,86.5,26,None,Eating
7.4153,2601,135,80.1,29.6,0,0,39,None,Walking
7.4153,1344,113,42.9,29.1,0,0,27,Medium,Playing
7.4153,457,106,16.6,25.7,0,27.4,26,Low,Normal
7.4153,1018,115,32.2,30.4,0,0,24,Low,Playing
7.4153,0,104,1,24.6,0,0,18,None,Sleeping
7.4153,0,112,1,27.4,0,0,20,None,Sleeping
7.4153,264,103,10.8,29.2,0,25.2,21,None,Normal
7.4153,391,115,14.6,27.3,0,20.9,25,Low,Normal
7.4153,0,101,1,27.3,0,0,15,None,Sleeping
7.4153,322,110,11.6,25.1,141.8,150.1,20,None,Eating
7.4153,0,103,1,25.4,0,0,19,None,Sleeping
7.4153,1663,123,51.3,30.1,0,0,27,High,Playing
7.4153,2470,127,76.3,28.6,0,0,25,High,Walking
7.4153,350,117,13.4,28,0,31.5,25,Low,Normal
7.4153,780,120,25.1,31.8,0,0,28,High,Playing
7.4153,0,101,3,27.4,0,0,19,None,Sleeping
7.3967,0,111,3,24.6,0,0,20,None,Sleeping
7.3967,0,104,1,25.5,0,0,19,None,Sleeping
7.3967,0,106,2,26.2,0,0,19,None,Sleeping
7.3967,0,112,2,24.9,0,0,15,None,Sleeping
7.3967,0,106,3,26.7,0,0,20,None,Sleeping
7.3967,0,110,2,25.6,0,0,17,None,Sleeping
7.3967,0,108,2,26.2,0,0,18,None,Sleeping
7.3967,0,112,1,25.8,0,0,18,None,Sleeping
7.3967,0,109,3,24.7,0,0,16,None,Sleeping
7.3967,0,103,1,26,0,0,20,None,Sleeping
7.3967,0,105,2,26.1,0,0,19,None,Sleeping
7.3967,2118,125,63.7,32.9,0,0,39,Medium,Walking
7.3967,1185,132,37.1,31.5,0,0,29,Low,Playing
7.3967,216,106,8.4,27.8,170.1,71.1,18,None,Eating
7.3967,1502,132,47.4,28.8,0,0,28,Low,Playing
7.3967,1085,118,34.1,31.9,0,0,35,Medium,Walking
7.3967,2872,127,88,32.5,0,0,32,High,Walking
7.3967,266,105,10.9,28.7,0,13.7,19,None,Normal
7.3967,229,106,8.8,28.6,175.5,37.5,17,None,Eating
7.3967,0,102,3,27.2,0,0,15,None,Sleeping
7.3967,979,135,31,30.6,0,0,23,Medium,Playing
7.3967,139,114,5.1,25.8,198.8,127.8,18,None,Eating
7.3967,1676,118,50.6,30.3,0,0,25,High,Playing
7.3967,499,107,16.8,26.6,0,40,20,None,Normal
7.412,0,108,2,24.8,0,0,15,None,Sleeping
7.412,0,106,3,26.8,0,0,19,None,Sleeping
7.412,0,106,3,27,0,0,20,None,Sleeping
7.412,0,101,1,25.2,0,0,16,None,Sleeping
7.412,0,103,1,27.3,0,0,17,None,Sleeping
7.412,0,109,1,25.2,0,0,15,None,Sleeping
7.412,0,110,3,25.2,0,0,17,None,Sleeping
7.412,0,113,3,25.6,0,0,17,None,Sleeping
7.412,0,107,1,25.6,0,0,18,None,Sleeping
7.412,3026,132,90.7,32.3,0,0,28,High,Walking
7.412,271,107,9,25.7,0,9.8,20,Low,Normal
7.412,302,108,12,26.5,185.5,42.4,22,None,Eating
7.412,0,101,2,26.3,0,0,18,None,Sleeping
7.412,0,101,1,25.2,0,0,18,None,Sleeping
7.412,160,109,7.7,26.6,0,18,25,None,Normal
7.412,1502,120,46.5,32.5,0,0,33,Medium,Walking
7.412,2702,129,81.1,32.6,0,0,29,Low,Walking
7.412,2155,128,64.9,32.4,0,0,26,None,Walking
7.412,546,114,18.2,29,0,30.8,19,Low,Normal
7.412,0,111,2,25.6,0,0,19,None,Sleeping
7.412,247,108,8.3,24.8,179.5,159.6,22,None,Eating
7.412,0,112,1,24.8,0,0,17,None,Sleeping
7.412,0,105,2,25.1,0,0,18,None,Sleeping
7.412,353,112,12.5,27.4,0,48,21,None,Normal
7.4105,0,109,1,26.8,0,0,20,None,Sleeping
